#id	parent name
species:ncbi:76438	Eriophorum
species:ncbi:388572	Gahnia
species:ncbi:100293	Kobresia
species:ncbi:198213	Rhynchospora
species:ncbi:434052	Scirpus
species:ncbi:74613	Glycyrrhiza
species:ncbi:46353	Agrococcus
species:ncbi:318008	Anginon
species:ncbi:46367	Bupleurum
species:ncbi:52448	Astrantia
species:ncbi:330648	Arthrophyllum
species:ncbi:256620	Cussonia
species:ncbi:96665	Dendropanax
species:ncbi:46397	Fatsia
species:ncbi:46399	Kalopanax
species:ncbi:310849	Meryta
species:ncbi:50308	Polyscias
species:ncbi:46409	Pseudopanax
species:ncbi:46415	Schefflera
species:ncbi:46417	Tetrapanax
species:ncbi:46421	Trevesia
species:ncbi:46423	Tupidanthus
species:ncbi:46428	Amblycheila
species:ncbi:46433	Reticulomyxa
species:ncbi:319061	Thelebolus
species:ncbi:46455	Strongylogaster
species:ncbi:46460	Milnesium
species:ncbi:46462	Anophryoides
species:ncbi:46467	Halocella
species:ncbi:46469	Orenia
species:ncbi:46478	Aerodramus
species:ncbi:46496	Collocalia
species:ncbi:46502	Hydrochous
species:ncbi:46505	Streptoprocne
species:ncbi:304672	Phaethornis
species:ncbi:46519	Patiriella
species:ncbi:46529	Oreaster
species:ncbi:46544	Phoebetria
species:ncbi:46564	Procryptotermes
species:ncbi:112481	Incisitermes
species:ncbi:60586	Neotermes
species:ncbi:62960	Nasutitermes
species:ncbi:315803	Macrotermes
species:ncbi:99802	Spirometra
species:ncbi:61848	Harmothoe
species:ncbi:438488	Polydora
species:ncbi:46605	Scoloplos
species:ncbi:97477	Anaerobaculum
species:ncbi:82076	Picrophilus
species:ncbi:93472	Hormonema
species:ncbi:46641	Petalomyrmex
species:ncbi:354278	Brachymyrmex
species:ncbi:46662	Muraena
species:ncbi:46664	Schizolobium
species:ncbi:59900	Brachyscome
species:ncbi:46685	Ascaridia
species:ncbi:242754	Cyphastrea
species:ncbi:526284	Echinopora
species:ncbi:51073	Turbinaria
species:ncbi:46700	Tubastraea
species:ncbi:310697	Anacropora
species:ncbi:46704	Montipora
species:ncbi:371657	Psammocora
species:ncbi:46720	Porites
species:ncbi:75301	Goniopora
species:ncbi:126657	Pavona
species:ncbi:46731	Pocillopora
species:ncbi:154326	Hydnophora
species:ncbi:46745	Galaxea
species:ncbi:46748	Catalaphyllia
species:ncbi:46750	Euphyllia
species:ncbi:498489	Leptastrea
species:ncbi:46758	Lobophyllia
species:ncbi:46760	Leptoria
species:ncbi:46766	Bdelloura
species:ncbi:46770	Cenarchaeum
species:ncbi:83819	Polygonum
species:ncbi:32538	Leopardus
species:ncbi:46904	Pachycephala
species:ncbi:46906	Turnagra
species:ncbi:46914	Devosia
species:ncbi:46945	Sassafras
species:ncbi:46947	Geminigera
species:ncbi:46950	Storeatula
species:ncbi:46952	Rhinomonas
species:ncbi:46959	Vancouveria
species:ncbi:168834	Jeffersonia
species:ncbi:46963	Caulophyllum
species:ncbi:476039	Thalictrum
species:ncbi:445234	Pulsatilla
species:ncbi:168011	Hepatica
species:ncbi:46985	Adonis
species:ncbi:64040	Actaea
species:ncbi:46996	Helleborus
species:ncbi:315950	Orbilia
species:ncbi:219654	Dactylella
species:ncbi:299721	Hedysarum
species:ncbi:47037	Alhagi
species:ncbi:47055	Dethiosulfovibrio
species:ncbi:47058	Vuilleminia
species:ncbi:47068	Balanophyllia
species:ncbi:47071	Blackfordia
species:ncbi:47073	Condylactis
species:ncbi:47083	Melilotus
species:ncbi:47091	Sutherlandia
species:ncbi:228354	Tephrosia
species:ncbi:47101	Galega
species:ncbi:47103	Smirnowia
species:ncbi:47108	Nerilla
species:ncbi:152572	Protodrilus
species:ncbi:47118	Bonellia
species:ncbi:47121	Notommata
species:ncbi:47129	Nucula
species:ncbi:61981	Cylindroiulus
species:ncbi:52888	Spadella
species:ncbi:47138	Acanthosentis
species:ncbi:99883	Tetraodon
species:ncbi:47165	Cyttaria
species:ncbi:47183	Ascodesmis
species:ncbi:61485	Cookeina
species:ncbi:47197	Iodophanus
species:ncbi:47205	Pyronema
species:ncbi:51139	Sarcoscypha
species:ncbi:47245	Zenaida
species:ncbi:442667	Nematoctonus
species:ncbi:1184	Leptolyngbya
species:ncbi:47257	Duddingtonia
species:ncbi:150354	Geniculifera
species:ncbi:202209	Dactylaria
species:ncbi:47278	Trichothecium
species:ncbi:47285	Pleodorina
species:ncbi:47308	Neogobius
species:ncbi:47310	Proterorhinus
species:ncbi:47358	Dermocybe
species:ncbi:47421	Hydrogenophaga
species:ncbi:47429	Armillaria
species:ncbi:47454	Otatea
species:ncbi:323911	Nastus
species:ncbi:47496	Pedomicrobium
species:ncbi:47519	Calystegia
species:ncbi:47525	Amblema
species:ncbi:47528	Anodonta
species:ncbi:47531	Margaritifera
species:ncbi:152234	Mutela
species:ncbi:55010	Lepetodrilus
species:ncbi:209673	Leptodactylus
species:ncbi:106324	Contracaecum
species:ncbi:47573	Chrysodidymus
species:ncbi:454369	Ansonia
species:ncbi:377316	Atelopus
species:ncbi:47582	Melanophryniscus
species:ncbi:47588	Schismaderma
species:ncbi:183260	Hibiscus
species:ncbi:47615	Gossypioides
species:ncbi:99017	Swainsona
species:ncbi:47649	Colutea
species:ncbi:47651	Sphaerophysa
species:ncbi:47657	Halimodendron
species:ncbi:47668	Histriculus
species:ncbi:47671	Lautropia
species:ncbi:47676	Inquilina
species:ncbi:47692	Menura
species:ncbi:175000	Climacteris
species:ncbi:371672	Myripristis
species:ncbi:47706	Neoniphon
species:ncbi:181438	Sargocentron
species:ncbi:98395	Cobitis
species:ncbi:64660	Lyophyllum
species:ncbi:47724	Lepidodactylus
species:ncbi:260202	Hemidactylus
species:ncbi:299895	Cataglyphis
species:ncbi:47746	Cistella
species:ncbi:56364	Agrotis
species:ncbi:47769	Pseudocerastes
species:ncbi:47775	Astrephomene
species:ncbi:52036	Carteria
species:ncbi:181553	Calonympha
species:ncbi:397620	Lachnum
species:ncbi:47889	Diplodinium
species:ncbi:47892	Eudiplodinium
species:ncbi:47894	Polyplastron
species:ncbi:47896	Ophryoscolex
species:ncbi:150597	Dinophysis
species:ncbi:47973	Paraxerus
species:ncbi:47982	Plexaura
species:ncbi:888	Desulfobotulus
species:ncbi:47983	Rhopalura
species:ncbi:218817	Oecomys
species:ncbi:71850	Clavicorona
species:ncbi:48026	Ammi
species:ncbi:54706	Bifora
species:ncbi:48032	Carum
species:ncbi:48109	Cicuta
species:ncbi:48038	Foeniculum
species:ncbi:48042	Levisticum
species:ncbi:49556	Oenanthe
species:ncbi:52573	Sium
species:ncbi:63043	Sphenosciadium
species:ncbi:178721	Tauschia
species:ncbi:48067	Tetraplasandra
species:ncbi:48072	Pelvetia
species:ncbi:48074	Microbulbifer
species:ncbi:48076	Marinobacterium
species:ncbi:6118	Entacmaea
species:ncbi:48083	Brachylagus
species:ncbi:48085	Bunolagus
species:ncbi:48089	Romerolagus
species:ncbi:94007	Cnidium
species:ncbi:357966	Coelopleurum
species:ncbi:48117	Cryptotaenia
species:ncbi:48119	Glehnia
species:ncbi:5574	Helicobasidium
species:ncbi:162666	Baphia
species:ncbi:115636	Andira
species:ncbi:48131	Amorpha
species:ncbi:48133	Diphysa
species:ncbi:48135	Aeschynomene
species:ncbi:114978	Adesmia
species:ncbi:48139	Psammomys
species:ncbi:48144	Meganyctiphanes
species:ncbi:48146	Thysanoessa
species:ncbi:135169	Eurostopodus
species:ncbi:48171	Chelon
species:ncbi:48184	Hegeter
species:ncbi:48196	Oedalechilus
species:ncbi:48205	Aralidium
species:ncbi:52299	Rudbeckia
species:ncbi:145714	Washingtonia
species:ncbi:57948	Dryas
species:ncbi:193516	Hippophae
species:ncbi:85297	Xerosicyos
species:ncbi:48242	Marah
species:ncbi:262936	Discaria
species:ncbi:262945	Trevoa
species:ncbi:48253	Calotes
species:ncbi:48271	Amphipholis
species:ncbi:48279	Aegotheles
species:ncbi:111811	Caprimulgus
species:ncbi:48398	Chordeiles
species:ncbi:48382	Thermothrix
species:ncbi:48386	Perilla
species:ncbi:48391	Barbeya
species:ncbi:57238	Crypturellus
species:ncbi:241706	Eugymnanthea
species:ncbi:48414	Thermarces
species:ncbi:48416	Zoarces
species:ncbi:48420	Gulo
species:ncbi:48422	Bassaricyon
species:ncbi:48429	Nyctibius
species:ncbi:48435	Steatornis
species:ncbi:48437	Phalaenoptilus
species:ncbi:48444	Cyclothone
species:ncbi:91970	Gonostoma
species:ncbi:48465	Prosthecobacter
species:ncbi:48483	Reclinomonas
species:ncbi:48498	Montastraea
species:ncbi:48514	Scorodocarpus
species:ncbi:263604	Ehretia
species:ncbi:451881	Corallorhiza
species:ncbi:396665	Gymnosiphon
species:ncbi:167575	Burmannia
species:ncbi:48534	Neottia
species:ncbi:48536	Eburophyton
species:ncbi:72673	Ophiura
species:ncbi:48550	Theragra
species:ncbi:228893	Pyricularia
species:ncbi:48597	Truncocolumella
species:ncbi:48623	Elaphrus
species:ncbi:48631	Megacephala
species:ncbi:48639	Odontocheila
species:ncbi:48652	Peridexia
species:ncbi:48654	Physodeutera
species:ncbi:48657	Picnochile
species:ncbi:48668	Rutilus
species:ncbi:48709	Orchesella
species:ncbi:48717	Tetrodontophora
species:ncbi:124134	Andrena
species:ncbi:48723	Pontoporia
species:ncbi:48729	Rhabdochromatium
species:ncbi:48732	Bouteloua
species:ncbi:305	Ralstonia
species:ncbi:291118	Thamnochortus
species:ncbi:48742	Berardius
species:ncbi:48744	Hyperoodon
species:ncbi:48747	Orcaella
species:ncbi:118798	Platanista
species:ncbi:99288	Drymonia
species:ncbi:352291	Columnea
species:ncbi:301626	Cyrtandra
species:ncbi:48773	Primulina
species:ncbi:48784	Mylodon
species:ncbi:188995	Paliavana
species:ncbi:48790	Sinningia
species:ncbi:85262	Saintpaulia
species:ncbi:65603	Setaria
species:ncbi:48809	Lysionotus
species:ncbi:48815	Ramonda
species:ncbi:49121	Titanotrichum
species:ncbi:171314	Gesneria
species:ncbi:176285	Carios
species:ncbi:48852	Cabassous
species:ncbi:48859	Nephroma
species:ncbi:52881	Peltigera
species:ncbi:48864	Solorina
species:ncbi:48868	Jaculus
species:ncbi:48878	Cactospiza
species:ncbi:48880	Certhidea
species:ncbi:48883	Geospiza
species:ncbi:48897	Hylomys
species:ncbi:48909	Archaeopsylla
species:ncbi:185833	Boreus
species:ncbi:48986	Feltia
species:ncbi:170209	Nyctimene
species:ncbi:472368	Boea
species:ncbi:49036	Paraboea
species:ncbi:49045	Anaphalis
species:ncbi:49078	Leontopodium
species:ncbi:49118	Candidatus Arthromitus
species:ncbi:123612	Peripatoides
species:ncbi:74383	Planipapillus
species:ncbi:199110	Chirita
species:ncbi:176247	Leucothoe
species:ncbi:49153	Lyonia
species:ncbi:574221	Lepidocyrtus
species:ncbi:49185	Kineosporia
species:ncbi:85363	Aconitum
species:ncbi:61340	Atrina
species:ncbi:49223	Sphaceloma
species:ncbi:285082	Aulacoseira
species:ncbi:426633	Chaetoceros
species:ncbi:49243	Corethron
species:ncbi:49246	Cymatosira
species:ncbi:49249	Ditylum
species:ncbi:444606	Eucampia
species:ncbi:382366	Lauderia
species:ncbi:49278	Psychroserpens
species:ncbi:49280	Gelidibacter
species:ncbi:49349	Aduncospiculum
species:ncbi:49351	Zeldia
species:ncbi:538668	Plectus
species:ncbi:413821	Psilanthus
species:ncbi:219050	Calosoma
species:ncbi:186476	Gerbillurus
species:ncbi:59479	Rhinolophus
species:ncbi:49445	Tachyoryctes
species:ncbi:40247	Dasypyrum
species:ncbi:230702	Brocchinia
species:ncbi:49490	Guzmania
species:ncbi:4676	Molineria
species:ncbi:326797	Nidularium
species:ncbi:100705	Pitcairnia
species:ncbi:412121	Vriesea
species:ncbi:58829	Trichomanes
species:ncbi:49555	Ligusticum
species:ncbi:49558	Osmorhiza
species:ncbi:182415	Ostericum
species:ncbi:312531	Peucedanum
species:ncbi:496690	Pleurospermum
species:ncbi:49581	Acicarpha
species:ncbi:49601	Goodenia
species:ncbi:105884	Lonicera
species:ncbi:49614	Nymphoides
species:ncbi:49642	Erythronium
species:ncbi:170924	Primula
species:ncbi:49657	Smilax
species:ncbi:49664	Croomia
species:ncbi:49668	Kinugasa
species:ncbi:49666	Paris
species:ncbi:49672	Scoliopus
species:ncbi:49675	Trillium
species:ncbi:49683	Menispermum
species:ncbi:49696	Asphodeline
species:ncbi:207931	Asphodelus
species:ncbi:210954	Bulbine
species:ncbi:247103	Gasteria
species:ncbi:214838	Kniphofia
species:ncbi:50225	Taraxacum
species:ncbi:126618	Gladiolus
species:ncbi:489332	Isolona
species:ncbi:49754	Mkilua
species:ncbi:53011	Hypnum
species:ncbi:49769	Helictotrichon
species:ncbi:366481	Koeleria
species:ncbi:49788	Adenocarpus
species:ncbi:49793	Anagyris
species:ncbi:76389	Argyrolobium
species:ncbi:49797	Baptisia
species:ncbi:49799	Calicotome
species:ncbi:161750	Cercis
species:ncbi:49805	Chamaecytisus
species:ncbi:3834	Cytisophyllum
species:ncbi:49825	Genista
species:ncbi:49832	Petteria
species:ncbi:49834	Podalyria
species:ncbi:49837	Retama
species:ncbi:49843	Spartium
species:ncbi:183296	Thermopsis
species:ncbi:325741	Ferulago
species:ncbi:49896	Acetomicrobium
species:ncbi:150633	Brachysema
species:ncbi:49927	Pissodes
species:ncbi:137099	Gentianella
species:ncbi:49969	Geopyxis
species:ncbi:134031	Pulvinula
species:ncbi:49978	Protocruzia
species:ncbi:49980	Climacostomum
species:ncbi:49988	Satureja
species:ncbi:49992	Thymus
species:ncbi:74884	Doryphora
species:ncbi:50011	Bryobia
species:ncbi:50013	Eotetranychus
species:ncbi:50017	Eurytetranychus
species:ncbi:392232	Oligonychus
species:ncbi:50023	Panonychus
species:ncbi:50026	Petrobia
species:ncbi:50037	Bracteacoccus
species:ncbi:50047	Geochelone
species:ncbi:50057	Methylosulfonomonas
species:ncbi:50058	Marinosulfonomonas
species:ncbi:50140	Ligaria
species:ncbi:50142	Loranthus
species:ncbi:50146	Minquartia
species:ncbi:50148	Monotropa
species:ncbi:529590	Psittacanthus
species:ncbi:364700	Struthanthus
species:ncbi:210367	Thesium
species:ncbi:50169	Tripodanthus
species:ncbi:50174	Ximenia
species:ncbi:89484	Cephalotaxus
species:ncbi:50181	Dacrycarpus
species:ncbi:50184	Phyllocladus
species:ncbi:50189	Torreya
species:ncbi:50207	Sonchus
species:ncbi:227498	Arisaema
species:ncbi:50236	Butomus
species:ncbi:72650	Veratrum
species:ncbi:50251	Sitta
species:ncbi:50277	Lomatogonium
species:ncbi:50282	Cnicus
species:ncbi:103742	Kengyilia
species:ncbi:82096	Eleutherococcus
species:ncbi:50328	Pentarhizidium
species:ncbi:89541	Streptanthus
species:ncbi:50351	Lagodon
species:ncbi:258889	Chalinolobus
species:ncbi:200671	Asprocottus
species:ncbi:76058	Somateria
species:ncbi:300221	Arothron
species:ncbi:50373	Colisa
species:ncbi:470463	Fusicladium
species:ncbi:27778	Ameiurus
species:ncbi:50390	Diabrotica
species:ncbi:50392	Charadrius
species:ncbi:100859	Vanellus
species:ncbi:50415	Crassadoma
species:ncbi:50417	Mimachlamys
species:ncbi:50426	Pinctada
species:ncbi:50429	Stylophora
species:ncbi:50432	Ascalapha
species:ncbi:52816	Panorpa
species:ncbi:329908	Hydropsyche
species:ncbi:50449	Labidura
species:ncbi:50452	Arabis
species:ncbi:50459	Barbarea
species:ncbi:109594	Cardamine
species:ncbi:65951	Rorippa
species:ncbi:50506	Sargentodoxa
species:ncbi:107796	Cybister
species:ncbi:50525	Tetraopes
species:ncbi:50529	Anisomorpha
species:ncbi:50550	Priacma
species:ncbi:559164	Corydalus
species:ncbi:50562	Petrobius
species:ncbi:50572	Prodontria
species:ncbi:50579	Costelytra
species:ncbi:307926	Ephemera
species:ncbi:50586	Lepisma
species:ncbi:50589	Podura
species:ncbi:50591	Lithognathus
species:ncbi:98819	Pagellus
species:ncbi:50595	Spondyliosoma
species:ncbi:50597	Stylops
species:ncbi:279420	Sialis
species:ncbi:50612	Paramyxine
species:ncbi:256668	Apoica
species:ncbi:374948	Dasymutilla
species:ncbi:60508	Dennyus
species:ncbi:219339	Ephemerella
species:ncbi:50640	Monobia
species:ncbi:50644	Oecetis
species:ncbi:50653	Merope
species:ncbi:280090	Saldula
species:ncbi:50663	Caenocholax
species:ncbi:50666	Elenchus
species:ncbi:525	Acidocella
species:ncbi:50715	Acidisphaera
species:ncbi:50730	Ampelomyces
species:ncbi:50733	Astronotus
species:ncbi:161897	Crenicichla
species:ncbi:80949	Dascyllus
species:ncbi:172057	Centaurium
species:ncbi:50794	Cymatogaster
species:ncbi:238232	Etroplus
species:ncbi:50799	Hemichromis
species:ncbi:50802	Gentianopsis
species:ncbi:50804	Halenia
species:ncbi:50812	Pseudocrenilabrus
species:ncbi:50895	Parachartergus
species:ncbi:50897	Labidochromis
species:ncbi:311520	Serranochromis
species:ncbi:109958	Occidozyga
species:ncbi:232755	Pertusaria
species:ncbi:116809	Physcia
species:ncbi:373700	Stereocaulon
species:ncbi:50950	Navicula
species:ncbi:50956	Geosiphon
species:ncbi:439023	Clitocybe
species:ncbi:527523	Gerronema
species:ncbi:180954	Corylopsis
species:ncbi:50998	Distylium
species:ncbi:51002	Fortunearia
species:ncbi:104224	Hygrocybe
species:ncbi:51024	Hydrilla
species:ncbi:51028	Enterobius
species:ncbi:51031	Necator
species:ncbi:125957	Neogloboquadrina
species:ncbi:54454	Mytilaria
species:ncbi:541172	Acanthastrea
species:ncbi:51056	Meandrina
species:ncbi:51060	Mycedium
species:ncbi:51066	Rhodactis
species:ncbi:51068	Sandalolitha
species:ncbi:51070	Seriatopora
species:ncbi:51089	Myristica
species:ncbi:51100	Shibataea
species:ncbi:140455	Bolinopsis
species:ncbi:51110	Dendronephthya
species:ncbi:520317	Distichopora
species:ncbi:90988	Pimephales
species:ncbi:51154	Catagonus
species:ncbi:303529	Neochromis
species:ncbi:77306	Paralabidochromis
species:ncbi:77313	Ptyochromis
species:ncbi:51186	Xystichromis
species:ncbi:51195	Desulfofustis
species:ncbi:51197	Syntrophobotulus
species:ncbi:51206	Enyalioides
species:ncbi:51208	Amblyrhynchus
species:ncbi:496808	Ctenosaura
species:ncbi:57098	Cyclura
species:ncbi:51217	Dipsosaurus
species:ncbi:65995	Sauromalus
species:ncbi:51229	Wigglesworthia
species:ncbi:51239	Vanilla
species:ncbi:61620	Galaxias
species:ncbi:85702	Sabella
species:ncbi:51279	Pygospio
species:ncbi:283909	Capitella
species:ncbi:51297	Orchopeas
species:ncbi:51300	Nyctalus
species:ncbi:51322	Hafniomonas
species:ncbi:51324	Oltmannsiellopsis
species:ncbi:51334	Rhynchobodo
species:ncbi:51342	Aplodontia
species:ncbi:51346	Graphiurus
species:ncbi:51348	Lophuromys
species:ncbi:137523	Dendrocopos
species:ncbi:51359	Dryocopus
species:ncbi:51367	Salinivibrio
species:ncbi:51373	Nesokia
species:ncbi:51387	Xeronema
species:ncbi:51501	Agapanthus
species:ncbi:51432	Amaryllis
species:ncbi:51436	Arthropodium
species:ncbi:51438	Behnia
species:ncbi:51442	Bloomeria
species:ncbi:244021	Brodiaea
species:ncbi:51446	Dichelostemma
species:ncbi:51457	Leucocoryne
species:ncbi:82211	Nothoscordum
species:ncbi:81785	Ornithogalum
species:ncbi:51475	Phormium
species:ncbi:82249	Stenomesson
species:ncbi:167735	Triteleia
species:ncbi:51492	Tulbaghia
species:ncbi:51498	Mitrastema
species:ncbi:51500	Pilostyles
species:ncbi:51503	Cynomorium
species:ncbi:51522	Meteorus
species:ncbi:85586	Ascogaster
species:ncbi:51531	Toxoneuron
species:ncbi:72115	Microplitis
species:ncbi:51541	Spraguea
species:ncbi:51561	Brachyrhaphis
species:ncbi:251677	Aponogeton
species:ncbi:166861	Cladopus
species:ncbi:51598	Marathrum
species:ncbi:373105	Podostemum
species:ncbi:51631	Nucella
species:ncbi:51641	Willaertia
species:ncbi:242054	Gloydius
species:ncbi:51650	Sacculina
species:ncbi:51652	Elminius
species:ncbi:51655	Plutella
species:ncbi:51669	Tetragenococcus
species:ncbi:317406	Pieris
species:ncbi:201318	Chloromonas
species:ncbi:179908	Chamaeleo
species:ncbi:59664	Sparisoma
species:ncbi:241291	Halichoeres
species:ncbi:51791	Cyprichromis
species:ncbi:109713	Pomacanthus
species:ncbi:51811	Cordylochernes
species:ncbi:70919	Sarcophyton
species:ncbi:51815	Sinularia
species:ncbi:132405	Edwardsia
species:ncbi:165100	Ricordea
species:ncbi:51844	Anilius
species:ncbi:51846	Ramphotyphlops
species:ncbi:51848	Ungaliophis
species:ncbi:51850	Acrantophis
species:ncbi:51857	Casarea
species:ncbi:51861	Corallus
species:ncbi:51870	Eryx
species:ncbi:51876	Eunectes
species:ncbi:51881	Sanzinia
species:ncbi:51883	Aspidites
species:ncbi:129327	Liasis
species:ncbi:129333	Morelia
species:ncbi:51900	Anodorhynchus
species:ncbi:51902	Cyanopsitta
species:ncbi:51904	Deroptyus
species:ncbi:51906	Guaruba
species:ncbi:51908	Nandayus
species:ncbi:311895	Pyrrhura
species:ncbi:51912	Spicellum
species:ncbi:51948	Urolepis
species:ncbi:51953	Elaeis
species:ncbi:51957	Anniella
species:ncbi:51960	Minyobates
species:ncbi:152497	Phyllobates
species:ncbi:51987	Alcyonidium
species:ncbi:66750	Bipalium
species:ncbi:52000	Steganacarus
species:ncbi:52004	Natroniella
species:ncbi:52029	Chlorogonium
species:ncbi:164601	Wislouchiella
species:ncbi:52965	Phacotus
species:ncbi:84118	Urastoma
species:ncbi:52057	Microstomum
species:ncbi:52074	Ancistrus
species:ncbi:164006	Hemiancistrus
species:ncbi:52086	Loricaria
species:ncbi:52122	Calonectris
species:ncbi:52124	Oceanodroma
species:ncbi:52126	Pagodroma
species:ncbi:52001	Stetteria
species:ncbi:52139	Arrhenatherum
species:ncbi:52158	Piptatherum
species:ncbi:58931	Sesleria
species:ncbi:102175	Teratoscincus
species:ncbi:95110	Lialis
species:ncbi:126615	Platysaurus
species:ncbi:217858	Mabuya
species:ncbi:80426	Eremias
species:ncbi:52183	Xenosaurus
species:ncbi:52188	Bipes
species:ncbi:161134	Basiliscus
species:ncbi:116117	Leiolepis
species:ncbi:52198	Moloch
species:ncbi:103694	Physignathus
species:ncbi:103695	Pogona
species:ncbi:118213	Laudakia
species:ncbi:171652	Phrynocephalus
species:ncbi:103336	Agama
species:ncbi:118238	Trapelus
species:ncbi:89032	Draco
species:ncbi:118088	Acanthosaura
species:ncbi:70539	Japalura
species:ncbi:71008	Elgaria
species:ncbi:52224	Shinisaurus
species:ncbi:52226	Mitsuokella
species:ncbi:52229	Hallella
species:ncbi:52237	Champsocephalus
species:ncbi:52239	Pseudochaenichthys
species:ncbi:52273	Scorpaenichthys
species:ncbi:52283	Sarcoptes
species:ncbi:52287	Gremmeniella
species:ncbi:53728	Ratibida
species:ncbi:6162	Girardia
species:ncbi:152676	Anisotome
species:ncbi:52369	Plectomerus
species:ncbi:228020	Quadrula
species:ncbi:52375	Megalonaias
species:ncbi:55832	Elliptio
species:ncbi:96916	Pleurobema
species:ncbi:293137	Uniomerus
species:ncbi:52383	Utterbackia
species:ncbi:52387	Alasmidonta
species:ncbi:82299	Lasmigona
species:ncbi:52396	Lampsilis
species:ncbi:52395	Leptodea
species:ncbi:96919	Villosa
species:ncbi:96917	Ptychobranchus
species:ncbi:52424	Megaphyllum
species:ncbi:52428	Polyxenus
species:ncbi:151524	Clemmys
species:ncbi:52435	Coleonyx
species:ncbi:52450	Bolax
species:ncbi:52462	Cuminum
species:ncbi:489417	Tordylium
species:ncbi:52469	Falcaria
species:ncbi:52471	Ferula
species:ncbi:52477	Imperatoria
species:ncbi:344352	Klotzschia
species:ncbi:52494	Physospermum
species:ncbi:489434	Prangos
species:ncbi:52499	Ridolfia
species:ncbi:242304	Oreopanax
species:ncbi:344358	Azorella
species:ncbi:52518	Eustoma
species:ncbi:52559	Tessellaria
species:ncbi:61180	Oesophagostomum
species:ncbi:52570	Trachyspermum
species:ncbi:52581	Aplocheilus
species:ncbi:52612	Calopteryx
species:ncbi:52619	Chondrostoma
species:ncbi:174999	Cisticola
species:ncbi:228466	Corbula
species:ncbi:176853	Crepidula
species:ncbi:52634	Diprion
species:ncbi:60272	Aphyosemion
species:ncbi:52657	Epiplatys
species:ncbi:60260	Fundulopanchax
species:ncbi:52670	Austrofundulus
species:ncbi:415179	Atractomorpha
species:ncbi:52679	Cylindrocapsa
species:ncbi:164533	Sphaeroplea
species:ncbi:52688	Ankyra
species:ncbi:52714	Leymus
species:ncbi:52725	Melampyrum
species:ncbi:52734	Dilophus
species:ncbi:52754	Sylvicola
species:ncbi:52783	Ephippiorhynchus
species:ncbi:52787	Anaerofilum
species:ncbi:383689	Luscinia
species:ncbi:98287	Macoma
species:ncbi:52808	Menetes
species:ncbi:52812	Nesomys
species:ncbi:62282	Neomys
species:ncbi:52818	Allamanda
species:ncbi:141525	Acokanthera
species:ncbi:52822	Alstonia
species:ncbi:423487	Ceropegia
species:ncbi:52829	Dictyophleba
species:ncbi:206227	Hoya
species:ncbi:52835	Leycesteria
species:ncbi:387704	Mandevilla
species:ncbi:52844	Parquetina
species:ncbi:52846	Picralima
species:ncbi:62097	Plumeria
species:ncbi:141557	Prestonia
species:ncbi:52852	Secamone
species:ncbi:141614	Strophanthus
species:ncbi:52861	Tabernaemontana
species:ncbi:63500	Tylophora
species:ncbi:241757	Lycianthes
species:ncbi:52874	Witheringia
species:ncbi:65125	Scophthalmus
species:ncbi:489448	Sicista
species:ncbi:52916	Pholas
species:ncbi:211836	Antalis
species:ncbi:272940	Thais
species:ncbi:52928	Nerita
species:ncbi:57642	Siphonaria
species:ncbi:80832	Tridacna
species:ncbi:315710	Pallasea
species:ncbi:52952	Parapallasea
species:ncbi:52954	Eretmodus
species:ncbi:531	Polaribacter
species:ncbi:52964	Dysmorphococcus
species:ncbi:52967	Pteromonas
species:ncbi:52969	Ascophyllum
species:ncbi:216465	Polaromonas
species:ncbi:52976	Bartramia
species:ncbi:80885	Dicranella
species:ncbi:98470	Fissidens
species:ncbi:52988	Hedwigia
species:ncbi:70136	Orthotrichum
species:ncbi:200737	Pottia
species:ncbi:167896	Calliergonella
species:ncbi:90295	Plagiothecium
species:ncbi:53005	Brachythecium
species:ncbi:53007	Hylocomium
species:ncbi:280827	Jamesoniella
species:ncbi:236197	Plagiochila
species:ncbi:53022	Trichocolea
species:ncbi:53025	Nanobacterium
species:ncbi:157224	Plagiochasma
species:ncbi:53035	Ricciocarpos
species:ncbi:339096	Microcoelia
species:ncbi:53108	Paphiopedilum
species:ncbi:53164	Lamium
species:ncbi:193339	Stachys
species:ncbi:53245	Desulfonatronovibrio
species:ncbi:228	Pseudoalteromonas
species:ncbi:58699	Sphaerodactylus
species:ncbi:53275	Rhizomys
species:ncbi:53277	Eliomys
species:ncbi:53299	Heloecius
species:ncbi:156507	Macrophthalmus
species:ncbi:53306	Minuca
species:ncbi:53310	Ocypode
species:ncbi:504420	Uca
species:ncbi:65555	Desulfocapsa
species:ncbi:456391	Helice
species:ncbi:53334	Camelostrongylus
species:ncbi:549	Pantoea
species:ncbi:53992	Cylicocyclus
species:ncbi:53340	Oesophagodontus
species:ncbi:53348	Oesophagostomoides
species:ncbi:108473	Libyostrongylus
species:ncbi:54015	Terrabacter
species:ncbi:53358	Intrasporangium
species:ncbi:53366	Catellatospora
species:ncbi:53388	Friedmanniella
species:ncbi:314161	Helicoon
species:ncbi:292586	Merismopedia
species:ncbi:53417	Lonepinella
species:ncbi:53426	Sulfophobococcus
species:ncbi:61598	Lamprocystis
species:ncbi:1753	Propioniferax
species:ncbi:103817	Janibacter
species:ncbi:53461	Nakamurella
