#id	parent name
species:ncbi:1206	Trichodesmium
species:ncbi:1215	Prochloron
species:ncbi:1219	Prochlorococcus
species:ncbi:1223	Prochlorothrix
species:ncbi:1229	Nitrosococcus
species:ncbi:1233	Nitrosovibrio
species:ncbi:70125	Nitrospira
species:ncbi:1238	Piscirickettsia
species:ncbi:1245	Leuconostoc
species:ncbi:1254	Pediococcus
species:ncbi:1261	Peptostreptococcus
species:ncbi:1265	Ruminococcus
species:ncbi:1267	Sarcina
species:ncbi:1270	Micrococcus
species:ncbi:1280	Staphylococcus
species:ncbi:1299	Deinococcus
species:ncbi:1313	Streptococcus
species:ncbi:1351	Enterococcus
species:ncbi:1358	Lactococcus
species:ncbi:1371	Marinococcus
species:ncbi:1373	Planococcus
species:ncbi:1377	Aerococcus
species:ncbi:29391	Gemella
species:ncbi:82135	Atopobium
species:ncbi:1423	Bacillus
species:ncbi:1496	Clostridium
species:ncbi:1565	Desulfotomaculum
species:ncbi:1568	Quinella
species:ncbi:1474	Sporosarcina
species:ncbi:28447	Clavibacter
species:ncbi:1582	Lactobacillus
species:ncbi:1639	Listeria
species:ncbi:1646	Renibacterium
species:ncbi:1648	Erysipelothrix
species:ncbi:1650	Kurthia
species:ncbi:1652	Alloiococcus
species:ncbi:1656	Actinomyces
species:ncbi:1667	Arthrobacter
species:ncbi:216816	Bifidobacterium
species:ncbi:1703	Brevibacterium
species:ncbi:1708	Cellulomonas
species:ncbi:1718	Corynebacterium
species:ncbi:1736	Eubacterium
species:ncbi:1741	Thermodesulfobacterium
species:ncbi:1747	Propionibacterium
species:ncbi:119072	Thermoanaerobacter
species:ncbi:1773	Mycobacterium
species:ncbi:33910	Amycolatopsis
species:ncbi:1824	Nocardia
species:ncbi:1829	Rhodococcus
species:ncbi:1836	Saccharopolyspora
species:ncbi:35761	Nocardioides
species:ncbi:60912	Pseudonocardia
species:ncbi:1850	Actinopolyspora
species:ncbi:1852	Saccharomonospora
species:ncbi:1855	Frankia
species:ncbi:1861	Geodermatophilus
species:ncbi:1863	Dermatophilus
species:ncbi:1871	Actinoplanes
species:ncbi:1877	Micromonospora
species:ncbi:1902	Streptomyces
species:ncbi:1993	Actinomadura
species:ncbi:1996	Microtetraspora
species:ncbi:58119	Planomonospora
species:ncbi:2001	Streptosporangium
species:ncbi:147065	Microbispora
species:ncbi:310350	Nocardiopsis
species:ncbi:2017	Streptoalloteichus
species:ncbi:2020	Thermomonospora
species:ncbi:2026	Thermoactinomyces
species:ncbi:2030	Kibdelosporangium
species:ncbi:2035	Curtobacterium
species:ncbi:2039	Tropheryma
species:ncbi:2041	Aeromicrobium
species:ncbi:2045	Pimelobacter
species:ncbi:2052	Mobiluncus
species:ncbi:36822	Gordonia
species:ncbi:2057	Sphaerobacter
species:ncbi:2061	Tsukamurella
species:ncbi:2066	Kitasatospora
species:ncbi:66854	Saccharothrix
species:ncbi:2078	Sporolactobacillus
species:ncbi:2087	Anaeroplasma
species:ncbi:2104	Mycoplasma
species:ncbi:2130	Ureaplasma
species:ncbi:2133	Spiroplasma
species:ncbi:2148	Acholeplasma
species:ncbi:2153	Asteroleplasma
species:ncbi:2162	Methanobacterium
species:ncbi:2173	Methanobrevibacter
species:ncbi:39664	Methanohalophilus
species:ncbi:2180	Methanothermus
species:ncbi:39152	Methanococcus
species:ncbi:2193	Methanocorpusculum
species:ncbi:62970	Methanogenium
species:ncbi:2203	Methanospirillum
species:ncbi:2205	Methanomicrobium
species:ncbi:2208	Methanosarcina
species:ncbi:2221	Methanolobus
species:ncbi:2223	Methanosaeta
species:ncbi:29291	Methanococcoides
species:ncbi:2234	Archaeoglobus
species:ncbi:2238	Haloarcula
species:ncbi:2242	Halobacterium
species:ncbi:2250	Halococcus
species:ncbi:2246	Haloferax
species:ncbi:44930	Natronobacterium
species:ncbi:2261	Pyrococcus
species:ncbi:2265	Thermococcus
species:ncbi:2269	Thermofilum
species:ncbi:2271	Thermoproteus
species:ncbi:2274	Desulfurococcus
species:ncbi:13773	Pyrobaculum
